timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759767029039,283,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,896,311,6,6,https://fakestoreapi.com/auth/login,283,0,0
1759767029096,307,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,898,310,6,6,https://fakestoreapi.com/auth/login,307,0,0
1759767029101,302,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,899,310,6,6,https://fakestoreapi.com/auth/login,302,0,0
1759767029109,298,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,895,316,6,6,https://fakestoreapi.com/auth/login,298,0,0
1759767029145,305,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,892,311,6,6,https://fakestoreapi.com/auth/login,305,0,0
1759767029350,300,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,904,312,6,6,https://fakestoreapi.com/auth/login,300,0,0
1759767029404,294,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,895,316,6,6,https://fakestoreapi.com/auth/login,294,0,0
1759767029412,296,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,894,310,6,6,https://fakestoreapi.com/auth/login,296,0,0
1759767029404,305,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,895,310,6,6,https://fakestoreapi.com/auth/login,305,0,0
1759767029451,282,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,892,311,6,6,https://fakestoreapi.com/auth/login,282,0,0
1759767029088,714,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,904,312,6,6,https://fakestoreapi.com/auth/login,714,0,157
1759767029651,291,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,898,312,6,6,https://fakestoreapi.com/auth/login,291,0,0
1759767029706,289,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,899,310,6,6,https://fakestoreapi.com/auth/login,289,0,0
1759767029708,293,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,893,316,6,6,https://fakestoreapi.com/auth/login,293,0,0
1759767029709,306,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,892,310,6,6,https://fakestoreapi.com/auth/login,306,0,0
1759767029746,283,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,900,311,6,6,https://fakestoreapi.com/auth/login,283,0,0
1759767029803,301,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,894,312,6,6,https://fakestoreapi.com/auth/login,301,0,0
1759767029952,302,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,891,310,6,6,https://fakestoreapi.com/auth/login,302,0,0
1759767030004,284,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,895,316,6,6,https://fakestoreapi.com/auth/login,284,0,0
1759767030009,293,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,896,310,6,6,https://fakestoreapi.com/auth/login,293,0,0
1759767030015,308,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,890,311,6,6,https://fakestoreapi.com/auth/login,308,0,0
1759767030045,278,POST login fakestore Api,201,Created,Thread Group 1-5,text,true,,898,312,6,6,https://fakestoreapi.com/auth/login,278,0,0
1759767030105,298,POST login fakestore Api,201,Created,Thread Group 1-6,text,true,,895,310,6,6,https://fakestoreapi.com/auth/login,298,0,0
1759767030254,281,POST login fakestore Api,201,Created,Thread Group 1-4,text,true,,897,316,6,6,https://fakestoreapi.com/auth/login,281,0,0
1759767030305,288,POST login fakestore Api,201,Created,Thread Group 1-2,text,true,,894,310,7,7,https://fakestoreapi.com/auth/login,288,0,0
1759767030310,294,POST login fakestore Api,201,Created,Thread Group 1-1,text,true,,894,311,7,7,https://fakestoreapi.com/auth/login,294,0,0
1759767030323,305,POST login fakestore Api,201,Created,Thread Group 1-3,text,true,,894,312,7,7,https://fakestoreapi.com/auth/login,305,0,0
